,timestamp_start,timestamp_end,qSQI_score,cSQI_score,sSQI_score,kSQI_score,pSQI_score,basSQI_score,annot_2,annot_3,record,consensus
70,2020-12-18 13:02:20.000000000,2020-12-18 13:02:22.000000000,0.8,0.762,1.188,5.88,0.503,0.941,1,1,emg6+emg6- 77,1
71,2020-12-18 13:02:22.000000000,2020-12-18 13:02:24.000000000,0.857,0.803,1.853,5.845,0.483,0.983,1,1,emg6+emg6- 77,1
72,2020-12-18 13:02:24.000000000,2020-12-18 13:02:26.000000000,0.857,0.797,3.39,13.661,0.611,0.912,1,1,emg6+emg6- 77,1
73,2020-12-18 13:02:26.000000000,2020-12-18 13:02:28.000000000,0.667,0.697,1.091,5.413,0.453,0.98,1,1,emg6+emg6- 77,1
74,2020-12-18 13:02:28.000000000,2020-12-18 13:02:30.000000000,1.0,0.496,1.828,6.329,0.502,0.986,1,1,emg6+emg6- 77,1
75,2020-12-18 13:02:30.000000000,2020-12-18 13:02:32.000000000,1.0,0.626,1.306,6.372,0.511,0.94,1,1,emg6+emg6- 77,1
76,2020-12-18 13:02:32.000000000,2020-12-18 13:02:34.000000000,0.857,0.766,2.161,10.238,0.495,0.967,1,1,emg6+emg6- 77,1
77,2020-12-18 13:02:34.000000000,2020-12-18 13:02:36.000000000,0.667,0.566,3.407,16.926,0.486,0.994,1,1,emg6+emg6- 77,1
78,2020-12-18 13:02:36.000000000,2020-12-18 13:02:38.000000000,0.667,0.608,1.042,3.087,0.492,0.957,1,1,emg6+emg6- 77,1
79,2020-12-18 13:02:38.000000000,2020-12-18 13:02:40.000000000,1.0,0.643,1.662,6.777,0.488,0.977,1,1,emg6+emg6- 77,1
80,2020-12-18 13:02:40.000000000,2020-12-18 13:02:42.000000000,0.857,0.769,1.496,5.513,0.493,0.978,1,1,emg6+emg6- 77,1
81,2020-12-18 13:02:42.000000000,2020-12-18 13:02:44.000000000,0.667,0.539,1.736,6.817,0.477,0.979,1,1,emg6+emg6- 77,1
82,2020-12-18 13:02:44.000000000,2020-12-18 13:02:46.000000000,0.667,0.556,1.182,5.497,0.528,0.985,1,1,emg6+emg6- 77,1
83,2020-12-18 13:02:46.000000000,2020-12-18 13:02:48.000000000,0.667,0.54,1.474,5.545,0.521,0.948,1,1,emg6+emg6- 77,1
84,2020-12-18 13:02:48.000000000,2020-12-18 13:02:50.000000000,0.4,0.488,0.769,4.856,0.505,0.933,1,1,emg6+emg6- 77,1
